,tconst,averageRating,numVotes
677232,tt14151192,9.7,2364
677233,tt14151200,9.7,2350
677234,tt14151210,9.7,2334
677235,tt14151224,9.7,2336
677236,tt14151232,9.7,2344
677237,tt14151236,9.7,2342
677238,tt14151238,9.7,2352
677239,tt14151244,9.7,2336
677240,tt14151252,9.7,2338
677241,tt14151264,9.7,2333
677242,tt14151272,9.7,2328
677243,tt14151292,9.7,2330
677244,tt14151304,9.7,2331
677245,tt14151312,9.7,2335
677246,tt14151320,9.7,2330
677247,tt14151328,9.7,2335
677250,tt14151340,9.7,2340
677252,tt14151356,9.7,2278
677254,tt14151362,9.7,2276
677255,tt14151366,9.7,2269
677257,tt14151376,9.6,2265
677733,tt14161242,9.6,1357
678741,tt14180486,9.5,23806
682152,tt14250476,9.6,5752
686909,tt1435079,9.5,3017
688315,tt1438164,9.5,3865
691186,tt14442438,9.5,5977
691310,tt1444420,9.5,7270
691312,tt1444421,9.8,15423
692481,tt14466394,9.6,1640
692490,tt14466420,9.7,1616
692733,tt14471770,9.5,6868
696044,tt1453919,9.7,23851
697640,tt14571480,9.5,9886
699636,tt14607188,9.5,2484
699638,tt14607194,9.7,3635
700318,tt1462220,9.7,9595
702755,tt14671574,9.6,1226
702760,tt14671594,9.7,1413
703750,tt14691124,9.6,4885
703752,tt14691138,9.5,4797
703756,tt14691148,9.5,4924
704080,tt14697846,9.5,1581
704508,tt14707514,9.7,1225
704636,tt14709674,9.6,1945
708562,tt14793314,9.5,5238
710664,tt1484138,9.5,4197
710774,tt1484414,9.7,5050
711065,tt14849728,9.6,2889
716727,tt14984112,9.5,13453
719163,tt1503406,9.5,5315
723415,tt1511910,9.6,10841
728201,tt1521502,9.6,6722
730581,tt1526671,9.6,1045
733009,tt15319556,9.5,12457
735039,tt15360920,9.5,2425
737035,tt1540125,9.5,21355
738121,tt15423196,9.7,16487
741917,tt15496376,9.6,20401
741925,tt15496440,9.6,18525
745014,tt15566072,9.5,5927
745971,tt1559909,9.7,6784
752015,tt15757632,9.7,6520
759406,tt1595996,9.8,14122
764553,tt1615552,9.5,32173
764555,tt1615553,9.7,36352
764599,tt1615666,9.7,6375
764710,tt1615944,9.6,33030
767935,tt1626753,9.7,11520
768240,tt1627712,9.6,11116
770171,tt1631966,9.6,1240
772553,tt16390300,9.5,2143
773190,tt1640867,9.6,8432
774285,tt1643647,9.7,3985
774286,tt1643648,9.7,3581
774386,tt1643896,9.6,1974
774387,tt1643897,9.6,1612
781613,tt1673082,9.5,3070
782598,tt1675927,9.6,4404
784008,tt1683085,9.6,34323
784009,tt1683086,9.7,40287
784010,tt1683087,9.5,30816
784011,tt1683088,9.9,73887
787320,tt16972222,9.5,10954
795451,tt17277218,9.7,74899
797155,tt17337688,9.6,9677
800707,tt17493244,9.5,2347
801214,tt17505964,9.7,72406
802035,tt17521746,9.8,22369
804042,tt17592094,9.8,1050
804085,tt17594170,9.7,70197
810804,tt17941224,9.5,4577
810805,tt17941228,9.5,4473
811763,tt1799489,9.5,3874
811764,tt1799490,9.5,3644
812619,tt1805117,9.6,4327
812927,tt1806725,9.7,21385
816369,tt1821284,9.6,28007
817033,tt18233708,9.5,11645
817241,tt1824317,9.5,7578
817475,tt1824873,9.7,21498
817894,tt18257408,9.5,6245
818701,tt18271352,9.5,24626
819709,tt18296922,9.7,1370
820053,tt1830404,9.7,26872
820465,tt18311176,9.5,4538
820466,tt18311178,9.6,4264
821102,tt1833197,9.8,18164
823865,tt18425310,9.5,1330
825199,tt1848733,9.5,4291
825834,tt1851398,9.6,50480
827081,tt18559878,9.6,1503
827864,tt1858363,9.5,4236
828571,tt1862636,9.5,6957
833162,tt18856536,9.5,26976
834190,tt18917938,9.7,1461
835114,tt18953204,9.6,34930
836797,tt19064724,9.5,2761
836799,tt19064730,9.7,3283
837275,tt1909673,9.5,3342
842253,tt19369844,9.7,3036
843856,tt1942614,9.6,40384
848488,tt19710854,9.8,3321
851493,tt19811660,9.6,50284
858606,tt20125040,9.6,3579
861017,tt20236974,9.5,16741
861667,tt2025155,9.6,2339
867597,tt2060963,9.8,13605
872426,tt2084342,9.7,54221
873610,tt2087629,9.6,3472
874857,tt20918700,9.7,6944
875012,tt2092593,9.6,3114
877121,tt2103188,9.5,71065
877200,tt21034246,9.8,2722
880105,tt2110659,9.6,1005
881405,tt21151974,9.9,35765
881412,tt21152040,9.5,20875
887404,tt21332632,9.6,2347
888298,tt21357656,9.5,4223
